Profundidade [m]	Densidade Aparente Seca [g/cm³]
5488.3532	2.41784
5488.5056	2.4241289999999998
5488.658	2.417363
5488.8104	2.403765
5488.9628	2.379479
5489.1152	2.367871
5489.2676	2.382851
5489.42	2.400725
5489.5724	2.399965
5489.7248	2.412509
5489.8772	2.4053259999999996
5490.0296	2.370318
5490.182	2.304532
5490.3344	2.291554
5490.4868	2.340563
5490.6392	2.382774
5490.7916	2.410227
5490.944	2.455672
5491.0964	2.4835499999999997
5491.2488	2.4970000000000003
5491.4012	2.467335
5491.5536	2.406297
5491.706	2.388171
5491.8584	2.388142
5492.0108	2.3846939999999996
5492.1632	2.402633
5492.3156	2.4228300000000003
5492.468	2.429408
5492.6204	2.409193
5492.7728	2.377955
5492.9252	2.368935
5493.0776	2.3877710000000003
5493.23	2.429093
5493.3824	2.4749269999999997
5493.5348	2.48123
5493.6872	2.4518429999999998
5493.8396	2.433878
5493.992	2.417764
5494.1444	2.41895
5494.2968	2.4504930000000003
5494.4492	2.530693
5494.6016	2.560272
5494.754	2.519304
5494.9064	2.467298
5495.0588	2.4278969999999997
5495.2112	2.418079
5495.3636	2.421714
5495.516	2.4398549999999997
5495.6684	2.471299
5495.8208	2.483514
5495.9732	2.464811
5496.1256	2.4571419999999997
5496.278	2.454548
5496.4304	2.4524209999999997
5496.5828	2.452251
5496.7352	2.458514
5496.8876	2.483473
5497.04	2.499984
5497.1924	2.4844000000000004
5497.3448	2.454795
5497.4972	2.470136
5497.6496	2.470806
5497.802	2.453115
5497.9544	2.433775
5498.1068	2.443938
5498.2592	2.474473
5498.4116	2.491766
5498.564	2.4604459999999997
5498.7164	2.436278
5498.8688	2.442013
5499.0212	2.4770930000000004
5499.1736	2.5298480000000003
5499.326	2.545488
5499.4784	2.509414
5499.6308	2.482641
5499.7832	2.4876069999999997
5499.9356	2.491975
5500.088	2.467921
5500.2404	2.467743
5500.3928	2.4642329999999997
5500.5452	2.41689
5500.6976	2.392106
5500.85	2.398009
5501.0024	2.4152470000000004
5501.1548	2.46597
5501.3072	2.4597890000000002
5501.4596	2.3594359999999996
5501.612	2.308599
5501.7644	2.274965
5501.9168	2.262352
5502.0692	2.206745
5502.2216	2.1664019999999997
5502.374	2.152647
5502.5264	2.1744570000000003
5502.6788	2.303372
5502.8312	2.398272
5502.9836	2.477525
5503.136	2.495975
5503.2884	2.4839189999999998
5503.4408	2.48157
5503.5932	2.479609
5503.7456	2.4450890000000003
5503.898	2.430115
5504.0504	2.429487
5504.2028	2.436777
5504.3552	2.429733
5504.5076	2.437534
5504.66	2.458662
5504.8124	2.451294
5504.9648	2.420961
5505.1172	2.415992
5505.2696	2.4359200000000003
5505.422	2.458557
5505.5744	2.449033
5505.7268	2.422219
5505.8792	2.370807
5506.0316	2.357474
5506.184	2.376679
5506.3364	2.402162
